code,name,description
1,Cash,Acquisition Type
2,SWAP,Acquisition Type
3,Other,Acquisition Type
4,Credit Enhancement,Acquisition Type
5,Bond or Debt Purchase,Acquisition Type
6,REMIC,Acquisition Type
7,Reinsurance,Acquisition Type
8,Risk Sharing,Acquisition Type
9,REIT,Acquisition Type
